"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"UBE2CP1","ENSG00000258648","1.5","0.36741052631578947","1.03","0.03","0.03","0","0"
"YWHAZ","ENSG00000164924","1.5","0.36741052631578947","1.5332069481049924","993.76","267.3","647.81","109.13"
"AC067751.1","ENSG00000238280","1.49","0.36741052631578947","1.0297029702970297","0.04","0.02","0.01","0.01"
"AC135983.3","ENSG00000223509","1.49","0.48307294384571753","1.3055555555555556","3.23","0.49","2.24","0.86"
"ADAM9","ENSG00000168615","1.49","0.36741052631578947","1.8305901716435458","154.71","70.96","84.06","18.79"
"ADAMTS1","ENSG00000154734","1.49","0.36741052631578947","1.4412670479542458","31.76","9.53","21.73","1.69"
"B3GALNT2","ENSG00000162885","1.49","0.36741052631578947","1.1360174102285092","19.88","1.84","17.38","1.19"
"COPG1","ENSG00000181789","1.49","0.36741052631578947","1.2495905982082651","128.72","20.07","102.81","11.14"
"DHCR7","ENSG00000172893","1.49","0.41898100984439507","1.4853105884380118","171.4","37.49","115.07","46.68"
"DIAPH3","ENSG00000139734","1.49","0.36741052631578947","1.458776595744681","20.94","6.03","14.04","2.18"
"FAM83G","ENSG00000188522","1.49","0.3797665677546983","1.701657458563536","8.24","3.09","4.43","1.78"
"GSTO1","ENSG00000148834","1.49","0.36962680965147454","1.329951477723864","29.15","6.23","21.67","4.17"
"PLIN3","ENSG00000105355","1.49","0.3676720284697509","1.4785351322936744","83.38","21.83","56.07","12.72"
"PMS2P4","ENSG00000067601","1.49","0.3698882466281311","1.185483870967742","1.94","0.35","1.48","0.25"
"SH3D19","ENSG00000109686","1.49","0.36741052631578947","1.3763763763763763","26.5","6.04","18.98","3.24"
"SHROOM2","ENSG00000146950","1.49","0.36741052631578947","1.2893518518518519","21.28","4.1","16.28","2.33"
"SLC25A26","ENSG00000144741","1.49","0.38695538667858737","1.311917098445596","11.66","2.25","8.65","2"
"SP110","ENSG00000135899","1.49","0.3855398822996831","1.4956140350877192","2.41","0.9","1.28","0.69"
"TENT5B","ENSG00000158246","1.49","0.36741052631578947","3.2205714285714286","27.18","15.88","7.75","5.74"
"UBC","ENSG00000150991","1.49","0.36741052631578947","1.318161087293624","432.53","95.72","327.89","39.22"
"YKT6","ENSG00000106636","1.49","0.36741052631578947","1.146836912362159","137.32","14.17","119.61","3.51"
"AC104134.1","ENSG00000225420","1.48","0.37734054054054056","1.1452991452991454","0.34","0.13","0.17","0.1"
"AP000253.1","ENSG00000234509","1.48","0.3736681265206813","1.0480769230769231","0.09","0.04","0.04","0.03"
"AP3D1","ENSG00000065000","1.48","0.36741052631578947","1.1663117735782098","261.91","29.44","224.42","18.62"
"B3GAT3","ENSG00000149541","1.48","0.36741052631578947","1.1562172363178864","54.14","6.08","46.69","3.04"
"DNAJB11","ENSG00000090520","1.48","0.36741052631578947","1.239993300954614","73.04","10.61","58.71","6.17"
"FAM209B","ENSG00000213714","1.48","0.445725588094095","1.0603448275862069","0.23","0.04","0.16","0.06"
"HDDC2","ENSG00000111906","1.48","0.4134282680822827","1.1798709677419355","44.72","4.53","37.75","5.11"
